Torr,Zero,Current,Phase,Corrected Phase
2,50.5,14,55.0,-4.5
2,50.5,24,59.0,-8.5
2,50.5,34,62.0,-11.5
2,50.5,44,65.0,-14.5
2,50.5,54,68.0,-17.5
3,57.0,20,61.5,-4.5
3,57.0,30,66.25,-9.25
3,57.0,40,68.5,-11.5
3,57.0,50,73.0,-16.0
3,57.0,60,75.0,-18.0
3,57.0,70,79.5,-22.5
3,57.0,80,82.5,-25.5
4,58.75,10,65.0,-6.25
4,58.75,18,68.0,-9.25
4,58.75,30,73.75,-15.0
4,58.75,41,76.5,-17.75
4,58.75,50,78.25,-19.5
4,58.75,60,81.0,-22.25
4,58.75,70,85.75,-27.0
4,58.75,80,90.5,-31.75
5,48.0,20,54.0,-6.0
5,48.0,30,57.0,-9.0
5,48.0,40,61.0,-13.0
5,48.0,50,64.0,-16.0
5,48.0,60,66.0,-18.0
5,48.0,70,70.0,-22.0
6,54.0,20,64.0,-10.0
6,54.0,29,66.0,-12.0
6,54.0,42,70.0,-16.0
6,54.0,50,71.5,-17.5
6,54.0,60,75.0,-21.0
6,54.0,70,77.5,-23.5
7,59.0,20,67.0,-8.0
7,59.0,30,70.25,-11.25
7,59.0,40,74.0,-15.0
7,59.0,50,77.0,-18.0
7,59.0,60,81.0,-22.0
7,59.0,70,83.5,-24.5
7,59.0,80,87.25,-28.25
8,54.0,30,69.0,-15.0
8,54.0,41,72.5,-18.5
8,54.0,50,74.5,-20.5
8,54.0,60,77.5,-23.5
8,54.0,70,80.0,-26.0
8,54.0,80,82.5,-28.5
9,59.5,30,71.5,-12.0
9,59.5,40,73.25,-13.75
9,59.5,50,80.25,-20.75
9,59.5,60,86.5,-27.0
9,59.5,70,90.0,-30.5
9,59.5,80,95.0,-35.5
9,59.5,90,100.25,-40.75
10,53.5,42,71.25,-17.75
10,53.5,50,75.0,-21.5
10,53.5,60,79.5,-26.0
10,53.5,70,83.0,-29.5
10,53.5,80,86.25,-32.75
10,53.5,90,91.25,-37.75
