Torr,Zero,Current,Phase,Corrected Phase
2,50.5,14,55,4.5
2,50.5,24,59,8.5
2,50.5,34,62,11.5
2,50.5,44,65,14.5
2,50.5,54,68,17.5
3,57,20,61.5,4.5
3,57,30,66.25,9.25
3,57,40,68.5,11.5
3,57,50,73,16
3,57,60,75,18
3,57,70,79.5,22.5
3,57,80,82.5,25.5
4,58.75,10,65,6.25
4,58.75,18,68,9.25
4,58.75,30,73.75,15
4,58.75,41,76.5,17.75
4,58.75,50,78.25,19.5
4,58.75,60,81,22.25
4,58.75,70,85.75,27
4,58.75,80,90.5,31.75
5,48,20,54,6
5,48,30,57,9
5,48,40,61,13
5,48,50,64,16
5,48,60,66,18
5,48,70,70,22
6,54,20,64,10
6,54,29,66,12
6,54,42,70,16
6,54,50,71.5,17.5
6,54,60,75,21
6,54,70,77.5,23.5
7,59,20,67,8
7,59,30,70.25,11.25
7,59,40,74,15
7,59,50,77,18
7,59,60,81,22
7,59,70,83.5,24.5
7,59,80,87.25,28.25
8,54,30,69,15
8,54,41,72.5,18.5
8,54,50,74.5,20.5
8,54,60,77.5,23.5
8,54,70,80,26
8,54,80,82.5,28.5
9,59.5,30,71.5,12
9,59.5,40,73.25,13.75
9,59.5,50,80.25,20.75
9,59.5,60,86.5,27
9,59.5,70,90,30.5
9,59.5,80,95,35.5
9,59.5,90,100.25,40.75
10,53.5,42,71.25,17.75
10,53.5,50,75,21.5
10,53.5,60,79.5,26
10,53.5,70,83,29.5
10,53.5,80,86.25,32.75
10,53.5,90,91.25,37.75
