Wavenumber,Intensity
41921.69028,7
39821.59924,9
36721.63896,1
36585.81202,12
36182.06817,2
35483.64204,10
35347.18,4
33954.58913,10
33181.8031,40
31370.18703,20
31219.75586,15
29810.25771,1
29005.76925,2
27876.35165,1
27672.92813,3
27516.1451,2
26990.55331,3
26789.11076,1
26180.70393,10
26179.65527,1
25716.16564,60
25715.8945,200
25715.87268,300
25222.40486,20
24942.19646,1
24837.3711,50
24836.32859,5
24267.01482,12
24266.01375,2
24132.67178,3
22789.79446,10
22534.95735,3
22363.96503,200
22362.95978,25
21343.00018,4
21342.86215,3
21341.51117,15
21341.50844,15
21341.05436,12
21217.25064,30
21216.19729,4
20317.22915,20
19937.48403,100
19810.84604,10
18479.09645,5
17019.49556,500
17019.42257,250
17018.47745,120
15243.67007,8
14974.20312,200
14561.38205,3
14153.92687,100
14153.85034,60
14152.86218,20
13733.71696,50
12794.02263,1
11959.30488,2
11033.54529,2
10857.36249,2
10566.79216,10
10507.95452,4
10497.39822,3
10493.98327,1
10412.95705,1
10306.51578,3
9972.346683,6
9968.936793,2
9877.909044,15
9863.392021,1
9698.164041,10
9697.872481,2
9374.135822,3
9234.385331,150
9233.397112,500
9233.320639,1000
9163.341137,9
9159.941743,3
8601.114704,4
8354.833104,30
7982.425891,20
7821.672133,50
7818.259859,20
7784.548605,7
7711.021749,10
7701.258925,2
6629.699462,12
5881.498394,200
5389.22317,1
5365.728022,6
5351.789157,500
5348.38583,200
5238.514818,100
5116.900714,20
4858.782641,500
4734.832792,80
4734.527918,10
4732.15304,20
3235.35597,3
2470.422862,4
