Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
91000,-2.552853,-2.553535,-2.556944,-2.563079,-2.556603,-2.566488,-2.549104,-2.550467,-2.559671,-2.576713,-2.5585457
91001,-2.606365,-2.56342,-2.551149,-2.598526,-2.555921,-2.556944,-2.562738,-2.560011,-2.589324,-2.561375,-2.5705773
91002,-2.553535,-2.546036,-2.543991,-2.586597,-2.55933,-2.60841,-2.562738,-2.562397,-2.565806,-2.577395,-2.5666235
91003,-2.545354,-2.56342,-2.557625,-2.554558,-2.555239,-2.554217,-2.571941,-2.562057,-2.575009,-2.566488,-2.5605908
91004,-2.566147,-2.564443,-2.590687,-2.577054,-2.574668,-2.56342,-2.552853,-2.572623,-2.573305,-2.568874,-2.5704074
91005,-2.586938,-2.552172,-2.558648,-2.581826,-2.565124,-2.574327,-2.585234,-2.565465,-2.590687,-2.570237,-2.5730658
91006,-2.572964,-2.569896,-2.570237,-2.566147,-2.588302,-2.565124,-2.584552,-2.568192,-2.572623,-2.548422,-2.5706459
91007,-2.570237,-2.561716,-2.549785,-2.561375,-2.565806,-2.581485,-2.561034,-2.601594,-2.562397,-2.579099,-2.5694528
91008,-2.551149,-2.550467,-2.565465,-2.563761,-2.588642,-2.563761,-2.567169,-2.569215,-2.570237,-2.564783,-2.5654649
91009,-2.547058,-2.559671,-2.573646,-2.577054,-2.556262,-2.567169,-2.595118,-2.563079,-2.56342,-2.55933,-2.5661807
91010,-2.557285,-2.564783,-2.557966,-2.582507,-2.56342,-2.592391,-2.571941,-2.594777,-2.562057,-2.568192,-2.5715319
91011,-2.55933,-2.554217,-2.572282,-2.566829,-2.584893,-2.564443,-2.550808,-2.573646,-2.557966,-2.557966,-2.564238
91012,-2.569215,-2.556944,-2.572282,-2.570919,-2.554898,-2.562057,-2.553876,-2.570578,-2.561375,-2.576031,-2.5648175
91013,-2.556944,-2.548422,-2.5716,-2.576372,-2.578758,-2.586597,-2.575691,-2.557966,-2.618293,-2.573305,-2.5743948
91014,-2.551831,-2.573305,-2.569555,-2.575691,-2.554558,-2.566829,-2.591369,-2.594096,-2.560693,-2.595459,-2.5733386
91015,-2.558989,-2.575009,-2.565465,-2.602275,-2.582507,-2.592051,-2.565806,-2.568533,-2.562057,-2.556603,-2.5729295
91016,-2.563761,-2.556603,-2.560352,-2.56751,-2.598526,-2.572964,-2.577395,-2.568192,-2.566488,-2.576713,-2.5708504
91017,-2.582848,-2.585234,-2.554217,-2.566147,-2.563761,-2.581144,-2.573305,-2.574327,-2.594436,-2.582848,-2.5758267
91018,-2.570237,-2.574668,-2.573986,-2.579781,-2.574327,-2.55933,-2.562397,-2.566829,-2.587961,-2.566147,-2.5715663
91019,-2.557966,-2.601934,-2.587279,-2.592391,-2.584893,-2.58353,-2.582507,-2.561716,-2.569555,-2.567851,-2.5789622
91020,-2.572964,-2.556944,-2.56342,-2.56342,-2.569215,-2.582507,-2.580803,-2.579099,-2.558307,-2.586597,-2.5713276
91021,-2.573986,-2.584552,-2.56751,-2.586597,-2.612499,-2.600912,-2.569215,-2.573986,-2.566147,-2.577395,-2.5812799
91022,-2.589324,-2.577054,-2.573646,-2.571941,-2.575009,-2.572623,-2.569896,-2.589665,-2.556262,-2.572282,-2.5747702
91023,-2.573986,-2.586938,-2.563761,-2.572623,-2.572964,-2.589665,-2.586257,-2.570237,-2.586257,-2.570237,-2.5772925
91024,-2.562738,-2.606706,-2.580122,-2.557285,-2.574668,-2.580462,-2.580803,-2.562738,-2.593414,-2.565465,-2.5764401
91025,-2.565806,-2.586257,-2.55558,-2.579781,-2.556944,-2.588983,-2.572282,-2.579099,-2.559671,-2.561716,-2.5706119
91026,-2.571941,-2.558648,-2.566488,-2.56751,-2.561034,-2.566147,-2.566829,-2.582848,-2.561034,-2.568874,-2.5671353
91027,-2.566488,-2.588983,-2.569555,-2.568192,-2.59171,-2.578417,-2.574668,-2.589665,-2.571941,-2.581826,-2.5781445
91028,-2.593414,-2.561375,-2.583871,-2.561034,-2.600912,-2.573646,-2.568533,-2.566147,-2.559671,-2.595118,-2.5763721
91029,-2.570578,-2.572282,-2.555239,-2.566488,-2.564102,-2.578758,-2.584212,-2.572623,-2.558307,-2.589665,-2.5712254
91030,-2.564443,-2.554898,-2.568192,-2.575691,-2.556944,-2.580803,-2.586597,-2.573305,-2.605683,-2.570237,-2.5736793
91031,-2.570237,-2.580462,-2.57535,-2.591028,-2.582507,-2.570237,-2.599208,-2.568874,-2.57126,-2.582507,-2.579167
91032,-2.580122,-2.57126,-2.569555,-2.566829,-2.5716,-2.570237,-2.569215,-2.560693,-2.603979,-2.572623,-2.5736113
91033,-2.568874,-2.580122,-2.577395,-2.587279,-2.574668,-2.563079,-2.558307,-2.584212,-2.57126,-2.573305,-2.5738501
91034,-2.563079,-2.578077,-2.565465,-2.590347,-2.573646,-2.576031,-2.569215,-2.568874,-2.578077,-2.571941,-2.5734752
91035,-2.573986,-2.579099,-2.561034,-2.580803,-2.565806,-2.575691,-2.558307,-2.599549,-2.57944,-2.577054,-2.5750769
91036,-2.593755,-2.584893,-2.57126,-2.57535,-2.563761,-2.568533,-2.561034,-2.582848,-2.557625,-2.580803,-2.5739862
91037,-2.562738,-2.563079,-2.570919,-2.563761,-2.55933,-2.557625,-2.556944,-2.569896,-2.562057,-2.580462,-2.5646811
91038,-2.575009,-2.576372,-2.570237,-2.591028,-2.586597,-2.596141,-2.573646,-2.568533,-2.566488,-2.591369,-2.579542
91039,-2.552172,-2.572623,-2.562057,-2.558989,-2.558989,-2.576372,-2.557285,-2.572964,-2.570237,-2.580122,-2.566181
91040,-2.583871,-2.57535,-2.577395,-2.556262,-2.594436,-2.568192,-2.56342,-2.564102,-2.559671,-2.585916,-2.5728615
91041,-2.5716,-2.569215,-2.592051,-2.561716,-2.590347,-2.562057,-2.607047,-2.573305,-2.59989,-2.561375,-2.5788603
91042,-2.564443,-2.565806,-2.562397,-2.560352,-2.550467,-2.572282,-2.56342,-2.605343,-2.560693,-2.585234,-2.5690437
91043,-2.584212,-2.573305,-2.570237,-2.563761,-2.565806,-2.575009,-2.568533,-2.577054,-2.553876,-2.563761,-2.5695554
91044,-2.56751,-2.580462,-2.60023,-2.554217,-2.562397,-2.587279,-2.568533,-2.556262,-2.577054,-2.563079,-2.5717023
91045,-2.553535,-2.560693,-2.550467,-2.566829,-2.561716,-2.582507,-2.556262,-2.572282,-2.56342,-2.578417,-2.5646128
91046,-2.552853,-2.557625,-2.572282,-2.562738,-2.570919,-2.562057,-2.575691,-2.560693,-2.574668,-2.558989,-2.5648515
91047,-2.566147,-2.577736,-2.56751,-2.57126,-2.573986,-2.561716,-2.58762,-2.570578,-2.586597,-2.593755,-2.5756905
91048,-2.558989,-2.568533,-2.572623,-2.566147,-2.552172,-2.57944,-2.568533,-2.573646,-2.570578,-2.570919,-2.568158
91049,-2.609432,-2.558989,-2.557625,-2.578417,-2.587279,-2.55933,-2.565124,-2.550126,-2.561375,-2.55933,-2.5687027
91050,-2.567851,-2.557285,-2.570237,-2.554217,-2.572964,-2.553876,-2.57944,-2.560693,-2.569896,-2.566829,-2.5653288
91051,-2.546036,-2.566829,-2.570237,-2.57126,-2.558307,-2.567851,-2.564783,-2.55149,-2.568533,-2.558989,-2.5624315
91052,-2.550808,-2.552512,-2.556603,-2.582507,-2.558648,-2.568192,-2.560011,-2.571941,-2.55558,-2.557966,-2.5614768
91053,-2.550467,-2.555921,-2.560352,-2.558989,-2.566488,-2.554558,-2.576372,-2.563761,-2.607047,-2.580462,-2.5674417
91054,-2.554558,-2.580462,-2.552512,-2.560011,-2.556944,-2.590347,-2.578758,-2.5716,-2.581485,-2.556262,-2.5682939
91055,-2.568874,-2.585916,-2.596481,-2.558307,-2.552172,-2.548763,-2.572623,-2.549445,-2.572282,-2.558648,-2.5663511
91056,-2.584552,-2.565124,-2.570578,-2.564783,-2.565465,-2.563079,-2.564102,-2.572282,-2.592391,-2.571941,-2.5714297
91057,-2.562057,-2.584552,-2.570578,-2.578417,-2.552512,-2.565465,-2.556944,-2.577054,-2.577054,-2.556603,-2.5681236
91058,-2.587279,-2.560011,-2.589324,-2.560693,-2.567169,-2.553194,-2.56751,-2.554217,-2.561716,-2.55558,-2.5656693
91059,-2.568874,-2.552512,-2.56342,-2.553194,-2.562738,-2.553876,-2.570919,-2.58762,-2.5716,-2.566147,-2.56509
91060,-2.568192,-2.566488,-2.56342,-2.578077,-2.550126,-2.580803,-2.573646,-2.568192,-2.549445,-2.572964,-2.5671353
91061,-2.564102,-2.558648,-2.569555,-2.554558,-2.588302,-2.57535,-2.56751,-2.557625,-2.574668,-2.555239,-2.5665557
91062,-2.546377,-2.572282,-2.566829,-2.587279,-2.558989,-2.566829,-2.563761,-2.557285,-2.544331,-2.573305,-2.5637267
91063,-2.546377,-2.549104,-2.552172,-2.598867,-2.568533,-2.593755,-2.562738,-2.578417,-2.55933,-2.577736,-2.5687029
91064,-2.561034,-2.55933,-2.580462,-2.568874,-2.550467,-2.57126,-2.558648,-2.569896,-2.567169,-2.57944,-2.566658
91065,-2.546036,-2.556262,-2.577736,-2.552512,-2.562057,-2.559671,-2.568533,-2.562057,-2.567169,-2.561375,-2.5613408
91066,-2.555921,-2.594436,-2.578417,-2.560352,-2.576713,-2.550467,-2.555921,-2.550467,-2.577736,-2.552172,-2.5652602
91067,-2.562738,-2.592051,-2.555239,-2.570919,-2.55558,-2.588983,-2.555921,-2.594436,-2.564783,-2.565124,-2.5705774
91068,-2.558989,-2.558989,-2.571941,-2.560693,-2.569555,-2.550467,-2.562057,-2.568874,-2.557285,-2.568533,-2.5627383
91069,-2.554217,-2.552512,-2.575691,-2.570578,-2.550467,-2.589324,-2.558989,-2.57126,-2.548763,-2.589665,-2.5661466
91070,-2.544331,-2.549104,-2.560693,-2.578758,-2.56751,-2.558989,-2.557966,-2.5716,-2.58353,-2.564443,-2.5636924
91071,-2.566488,-2.57535,-2.561375,-2.560011,-2.559671,-2.565465,-2.563079,-2.548422,-2.551149,-2.55558,-2.560659
91072,-2.55558,-2.549104,-2.551831,-2.561375,-2.564783,-2.565124,-2.560011,-2.575691,-2.565806,-2.567169,-2.5616474
91073,-2.56342,-2.564102,-2.582507,-2.564443,-2.570919,-2.553194,-2.572964,-2.553194,-2.583189,-2.560693,-2.5668625
91074,-2.560011,-2.577054,-2.578077,-2.570237,-2.587961,-2.568533,-2.554558,-2.563079,-2.560352,-2.561716,-2.5681578
91075,-2.546718,-2.569555,-2.568533,-2.554898,-2.566829,-2.563079,-2.557966,-2.554898,-2.592732,-2.556262,-2.563147
91076,-2.621019,-2.582848,-2.560352,-2.567169,-2.561716,-2.553535,-2.560352,-2.544331,-2.577736,-2.550467,-2.5679525
91077,-2.565806,-2.555239,-2.554898,-2.573305,-2.543309,-2.560693,-2.569555,-2.562057,-2.569215,-2.564443,-2.561852
91078,-2.561034,-2.59171,-2.555239,-2.562397,-2.573305,-2.594096,-2.558989,-2.607728,-2.557966,-2.56751,-2.5729974
91079,-2.572623,-2.549785,-2.565806,-2.571941,-2.569555,-2.603298,-2.585234,-2.553876,-2.548422,-2.561375,-2.5681915
91080,-2.548763,-2.543991,-2.565465,-2.552172,-2.565806,-2.548763,-2.568874,-2.561034,-2.597845,-2.562397,-2.561511
91081,-2.562738,-2.56751,-2.564443,-2.547058,-2.57535,-2.556603,-2.555921,-2.549104,-2.531378,-2.549104,-2.5559209
91082,-2.554898,-2.556944,-2.562397,-2.551149,-2.559671,-2.560352,-2.55933,-2.55149,-2.598185,-2.548422,-2.5602838
91083,-2.553194,-2.551831,-2.563079,-2.573646,-2.560011,-2.575691,-2.556603,-2.552172,-2.552512,-2.557625,-2.5596364
91084,-2.563761,-2.552853,-2.538196,-2.592051,-2.561034,-2.568192,-2.550808,-2.576031,-2.554558,-2.562397,-2.5619881
91085,-2.572964,-2.548081,-2.576031,-2.602616,-2.562057,-2.564102,-2.56751,-2.562738,-2.564783,-2.569896,-2.5690778
91086,-2.545354,-2.575009,-2.557966,-2.55558,-2.541604,-2.549445,-2.555921,-2.550808,-2.545695,-2.557285,-2.5534667
91087,-2.548422,-2.572964,-2.549445,-2.550126,-2.550126,-2.542286,-2.556944,-2.541604,-2.558648,-2.557285,-2.552785
91088,-2.552172,-2.573305,-2.558307,-2.560011,-2.568533,-2.556262,-2.536832,-2.572623,-2.547058,-2.558307,-2.558341
