Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
89579,0.161063,0.170437,0.184161,0.181149,0.153362,0.178136,0.171776,0.168428,0.182153,0.161398,0.1712063
89580,0.183491,0.17345,0.183157,0.171776,0.160728,0.177801,0.188846,0.180814,0.168094,0.174119,0.1762276
89581,0.174119,0.185834,0.175793,0.180814,0.1855,0.167424,0.18483,0.188177,0.181483,0.168763,0.1792737
89582,0.163741,0.167759,0.174454,0.17278,0.162737,0.166755,0.167759,0.17278,0.164076,0.180814,0.1693655
89583,0.188177,0.190854,0.180479,0.191858,0.18483,0.17914,0.191523,0.193866,0.178471,0.178806,0.1858004
89584,0.17914,0.173115,0.153697,0.180814,0.180814,0.171441,0.15738,0.160728,0.17278,0.166755,0.1696664
89585,0.177467,0.169433,0.178471,0.168094,0.174789,0.176128,0.170437,0.160393,0.184496,0.176463,0.1736171
89586,0.187173,0.178806,0.183157,0.183826,0.183491,0.180814,0.182153,0.180144,0.182153,0.192862,0.1834579
89587,0.184496,0.165415,0.183157,0.184161,0.180144,0.172446,0.167759,0.17278,0.175458,0.170437,0.1756253
89588,0.16575,0.183491,0.183826,0.176797,0.175124,0.162067,0.17278,0.186838,0.166085,0.168428,0.1741186
89589,0.180814,0.181483,0.186169,0.185834,0.180479,0.189516,0.181818,0.181818,0.186169,0.183826,0.1837926
89590,0.181818,0.180814,0.178806,0.188512,0.197212,0.172446,0.182487,0.168763,0.167089,0.175793,0.179374
89591,0.169098,0.173115,0.16575,0.16575,0.178806,0.169768,0.169433,0.175458,0.173785,0.163072,0.1704035
89592,0.180144,0.17278,0.168428,0.160728,0.182822,0.181483,0.17914,0.172111,0.167424,0.185834,0.1750894
89593,0.167089,0.171107,0.179475,0.171441,0.177132,0.177467,0.165415,0.163072,0.163741,0.174789,0.1710728
89594,0.173785,0.16642,0.161733,0.17345,0.170102,0.162067,0.164076,0.168428,0.171441,0.170772,0.1682274
89595,0.171107,0.173115,0.17981,0.154701,0.172446,0.183157,0.174789,0.182822,0.172446,0.163741,0.1728134
89596,0.183491,0.189181,0.178471,0.186169,0.176128,0.180814,0.177467,0.176797,0.18483,0.188846,0.1822194
89597,0.18483,0.167424,0.164076,0.188846,0.1855,0.180144,0.174454,0.181149,0.174119,0.18985,0.1790392
89598,0.185834,0.187173,0.191858,0.180144,0.18483,0.186504,0.173785,0.171776,0.193197,0.183491,0.1838592
89599,0.170437,0.175458,0.175124,0.185834,0.167759,0.169433,0.19052,0.182153,0.178471,0.183491,0.177868
89600,0.181149,0.171441,0.168094,0.174119,0.161063,0.15805,0.176463,0.174454,0.164746,0.167759,0.1697338
89601,0.179475,0.15738,0.163407,0.180144,0.182153,0.178471,0.190185,0.17278,0.18985,0.191189,0.1785034
89602,0.176463,0.187173,0.183826,0.174789,0.168763,0.181483,0.186838,0.175793,0.167424,0.181149,0.1783701
89603,0.168094,0.180479,0.169098,0.173785,0.172111,0.160059,0.163072,0.17345,0.174454,0.171776,0.1706378
89604,0.16575,0.169768,0.169098,0.166085,0.165081,0.162737,0.174454,0.169098,0.178806,0.174789,0.1695666
89605,0.171441,0.178136,0.169768,0.162067,0.17914,0.186169,0.156375,0.168094,0.175124,0.172111,0.1718425
89606,0.186169,0.167424,0.17981,0.186169,0.175458,0.182487,0.175124,0.17981,0.183826,0.18483,0.1801107
89607,0.164411,0.169768,0.169433,0.170102,0.169768,0.163072,0.172446,0.169098,0.176463,0.167759,0.169232
