Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
88971,0.115846,0.117186,0.115176,0.115846,0.115511,0.115176,0.114841,0.115846,0.114841,0.115511,0.115578
88972,0.113835,0.115511,0.114841,0.116516,0.116181,0.112495,0.115176,0.117521,0.114841,0.111825,0.1148742
88973,0.114841,0.115176,0.116516,0.114506,0.114841,0.11283,0.116516,0.114506,0.115511,0.114506,0.1149749
88974,0.116181,0.117521,0.109144,0.115846,0.115176,0.113165,0.1135,0.1135,0.115511,0.116851,0.1146395
88975,0.114171,0.115511,0.115511,0.115846,0.115846,0.115511,0.115846,0.114171,0.11082,0.116181,0.1149414
88976,0.116516,0.116181,0.117856,0.115511,0.1135,0.110485,0.116181,0.115846,0.117521,0.112495,0.1152092
88977,0.115176,0.115176,0.110485,0.11283,0.113165,0.115511,0.116181,0.115176,0.115846,0.115846,0.1145392
88978,0.115511,0.109479,0.116181,0.118191,0.115511,0.115846,0.114841,0.114841,0.117521,0.11283,0.1150752
88979,0.114841,0.114171,0.115511,0.115176,0.115511,0.106798,0.114841,0.115511,0.116851,0.115846,0.1145057
88980,0.117186,0.116181,0.112495,0.115846,0.115511,0.116181,0.115846,0.115846,0.117186,0.114841,0.1157119
88981,0.115176,0.117856,0.11216,0.114171,0.115846,0.117521,0.1135,0.115176,0.116516,0.115846,0.1153768
88982,0.111155,0.112495,0.115846,0.115511,0.113165,0.117521,0.11082,0.113835,0.114841,0.113835,0.1139024
88983,0.115846,0.117186,0.114841,0.116181,0.114841,0.115511,0.114506,0.11283,0.116181,0.115176,0.1153099
88984,0.115511,0.115846,0.114841,0.114841,0.115511,0.116516,0.115176,0.113835,0.114506,0.116181,0.1152764
88985,0.117186,0.114841,0.115176,0.115846,0.116181,0.115846,0.116851,0.115176,0.116516,0.114841,0.115846
88986,0.11283,0.114506,0.115846,0.115511,0.116181,0.116516,0.11216,0.115176,0.116181,0.114171,0.1149078
88987,0.114506,0.115846,0.1135,0.115846,0.115846,0.109479,0.115511,0.116181,0.115846,0.102442,0.1135003
88988,0.114171,0.115511,0.116516,0.106798,0.115846,0.114171,0.098085,0.114171,0.117521,0.116181,0.1128971
88989,0.09909,0.115846,0.115511,0.116516,0.117856,0.115511,0.115176,0.115511,0.115176,0.114506,0.1140699
88990,0.116181,0.112495,0.116181,0.114171,0.114171,0.114841,0.114841,0.114506,0.115511,0.115511,0.1148409
88991,0.116851,0.115176,0.114171,0.116181,0.115176,0.113165,0.110149,0.114841,0.109479,0.115846,0.1141035
88992,0.115176,0.118526,0.113165,0.116181,0.115846,0.115846,0.11283,0.114171,0.114506,0.113835,0.1150082
88993,0.115846,0.113165,0.115511,0.115511,0.115846,0.114841,0.115176,0.114841,0.114171,0.117856,0.1152764
88994,0.112495,0.116181,0.111825,0.115511,0.115846,0.114841,0.115511,0.114506,0.115846,0.115846,0.1148408
88995,0.115511,0.116181,0.110149,0.112495,0.118191,0.114506,0.116181,0.113835,0.117521,0.115846,0.1150416
88996,0.115846,0.115176,0.117521,0.115176,0.115176,0.112495,0.114506,0.116181,0.114841,0.108809,0.1145727
88997,0.114841,0.115511,0.115511,0.1135,0.116181,0.117521,0.116181,0.115846,0.098085,0.114506,0.1137683
88998,0.117856,0.116181,0.116516,0.115511,0.116516,0.116181,0.115176,0.114841,0.115846,0.115176,0.11598
88999,0.117856,0.115846,0.111155,0.114841,0.114841,0.115846,0.115846,0.115511,0.118526,0.114841,0.1155109
89000,0.116181,0.115176,0.115846,0.11216,0.11149,0.113165,0.115846,0.115846,0.118191,0.115176,0.1149077
89001,0.114841,0.116516,0.115176,0.116181,0.116516,0.116516,0.116181,0.115846,0.115846,0.1135,0.1157119
89002,0.115511,0.117186,0.114841,0.116516,0.111825,0.11283,0.116181,0.116516,0.115846,0.114841,0.1152093
89003,0.115846,0.115176,0.114841,0.115511,0.116516,0.115511,0.115846,0.114171,0.116181,0.114506,0.1154105
89004,0.115511,0.115511,0.116181,0.114506,0.114841,0.115511,0.116516,0.118191,0.115846,0.115846,0.115846
89005,0.116181,0.115846,0.112495,0.112495,0.114506,0.115846,0.116516,0.115511,0.114841,0.116516,0.1150753
89006,0.115176,0.116516,0.115176,0.116181,0.114506,0.115846,0.115846,0.114171,0.115511,0.111825,0.1150754
89007,0.115176,0.116181,0.113835,0.115846,0.11082,0.114841,0.116516,0.113165,0.115176,0.115176,0.1146732
89008,0.114506,0.111825,0.114506,0.116516,0.115176,0.115846,0.116181,0.116181,0.117186,0.115511,0.1153434
89009,0.115176,0.115176,0.114506,0.116516,0.114171,0.114171,0.117521,0.114506,0.116516,0.115511,0.115377
89010,0.115846,0.115846,0.1135,0.115511,0.113835,0.113835,0.116181,0.117186,0.116181,0.113835,0.1151756
89011,0.114841,0.115846,0.116851,0.116181,0.113835,0.115846,0.115176,0.112495,0.115176,0.114841,0.1151088
89012,0.113835,0.115176,0.116851,0.115846,0.113165,0.115176,0.114841,0.115176,0.09004,0.115511,0.1125617
89013,0.116516,0.115846,0.115511,0.114841,0.115846,0.116516,0.115176,0.115176,0.115176,0.116516,0.115712
89014,0.115176,0.112495,0.116181,0.115176,0.114506,0.116851,0.115176,0.117186,0.114506,0.116181,0.1153434
89015,0.117521,0.115511,0.115511,0.116516,0.115176,0.115511,0.115176,0.115846,0.115511,0.115176,0.1157455
89016,0.111825,0.116851,0.115846,0.116851,0.11216,0.108809,0.115176,0.115511,0.115511,0.117521,0.1146061
89017,0.107469,0.115176,0.114506,0.115511,0.115846,0.114506,0.115176,0.115176,0.116516,0.115846,0.1145728
89018,0.115846,0.114171,0.114841,0.116181,0.116181,0.117521,0.115176,0.115846,0.115511,0.115846,0.115712
89019,0.115176,0.116181,0.113165,0.114506,0.116851,0.115846,0.110485,0.110149,0.113165,0.115846,0.114137
89020,0.115511,0.115846,0.117186,0.115176,0.115846,0.115846,0.115846,0.115846,0.115176,0.11283,0.1155109
89021,0.116181,0.115846,0.115176,0.115511,0.114171,0.114171,0.115511,0.115176,0.114171,0.116181,0.1152095
89022,0.114506,0.116181,0.116181,0.11149,0.114171,0.107804,0.115511,0.113835,0.115511,0.114171,0.1139361
89023,0.114171,0.1135,0.117856,0.115846,0.116181,0.115846,0.116516,0.117856,0.113165,0.115176,0.1156113
89024,0.116851,0.115511,0.113835,0.114171,0.116181,0.114506,0.111825,0.116181,0.1135,0.115846,0.1148407
89025,0.115846,0.115846,0.113835,0.115511,0.115511,0.115176,0.116516,0.115511,0.114506,0.111825,0.1150083
89026,0.115511,0.115846,0.114841,0.115511,0.115176,0.113165,0.114171,0.115846,0.115846,0.113835,0.1149748
89027,0.116851,0.114171,0.115176,0.115176,0.116181,0.116516,0.115511,0.116516,0.114171,0.117856,0.1158125
89028,0.115511,0.114506,0.116181,0.115176,0.115846,0.114506,0.116181,0.116851,0.115846,0.115511,0.1156115
89029,0.114171,0.116181,0.115176,0.115846,0.114506,0.115176,0.116516,0.115846,0.115176,0.107469,0.1146063
89030,0.115511,0.116516,0.114841,0.114841,0.116181,0.116516,0.115511,0.116851,0.1135,0.111155,0.1151423
89031,0.112495,0.114171,0.115846,0.117521,0.115846,0.114506,0.116181,0.116851,0.115846,0.114171,0.1153434
89032,0.1135,0.115846,0.114841,0.115846,0.115176,0.116181,0.117856,0.115846,0.111155,0.116516,0.1152763
89033,0.116181,0.115511,0.113835,0.115511,0.116516,0.117186,0.115176,0.117521,0.115846,0.115846,0.1159129
89034,0.117521,0.113165,0.116181,0.114841,0.116181,0.114841,0.115176,0.116181,0.109479,0.117521,0.1151087
89035,0.114841,0.114841,0.116516,0.106798,0.116181,0.114506,0.116181,0.115176,0.114506,0.113835,0.1143381
89036,0.114171,0.115511,0.115846,0.114841,0.114841,0.115846,0.115511,0.116851,0.114841,0.115176,0.1153435
89037,0.115846,0.116516,0.116181,0.115846,0.115176,0.116851,0.115846,0.113835,0.116181,0.115176,0.1157454
89038,0.113165,0.117186,0.115846,0.111825,0.115846,0.115176,0.115176,0.115846,0.114506,0.115846,0.1150418
89039,0.115176,0.115511,0.117521,0.116181,0.11283,0.114841,0.116181,0.114841,0.116181,0.113165,0.1152428
